Vehicle #,Driver,Year_t1,Make_t1,Model_t1,Color,VIN,Vehicle  #,Year_t3,Make_t3,Model_t3,Mileage,Last Service,Service?,Unnamed: 9,Unnamed: 10,Vehicle #_t5,Calvin #,Vehicle Year,Make,Model,Title,Date_of_Service,Notes,Depts,Vehicle,Veh #,Current Mileage,Last LOF,Tire Condition IN 32nds,Overall condition,KBB Value
#1,none,2014.0,Ford,Escape,NULL,1FMCU0F73EUD08328,#1,2014.0,Ford,Escape,131897.0,5/17/2023,Yes,NULL,NULL,53.0,CS #1,2014,FORD,ESCAPE,Y,NULL,NULL,camp saf,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL
#1,none,2014.0,Ford,Escape,NULL,1FMCU0F73EUD08328,#1,2014.0,Ford,Escape,131897.0,5/17/2023,Yes,NULL,NULL,53.0,CS #1,2014,FORD,ESCAPE,Y,NULL,NULL,camp saf,OO7,BS/Advancement,White,8323,NULL,NULL,NULL
#1,none,2014.0,Ford,Escape,NULL,1FMCU0F73EUD08328,#1,2014.0,Ford,Escape,131897.0,5/17/2023,Yes,NULL,NULL,53.0,CS #1,2014,FORD,ESCAPE,Y,NULL,NULL,camp saf,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL
#1,none,2014.0,Ford,Escape,NULL,1FMCU0F73EUD08328,#1,2014.0,Ford,Escape,131897.0,5/17/2023,Yes,NULL,NULL,53.0,CS #1,2014,FORD,ESCAPE,Y,NULL,NULL,camp saf,Fac #8,BS,NULL,NULL,NULL,NULL,NULL
#1,none,2014.0,Ford,Escape,NULL,1FMCU0F73EUD08328,#1,2014.0,Ford,Escape,131897.0,5/17/2023,Yes,NULL,NULL,53.0,CS #1,2014,FORD,ESCAPE,Y,NULL,NULL,camp saf,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL
#3,none,2015.0,Ford,Escape,NULL,1FMCU0F77FUC24224,#3,2015.0,Ford,Escape,84773.0,5/17/2023,Yes,NULL,NULL,61.0,CS #3,2015,FORD,ESCAPE,Y,NULL,NULL,camp saf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
#3,none,2015.0,Ford,Escape,NULL,1FMCU0F77FUC24224,#3,2015.0,Ford,Escape,84773.0,5/17/2023,Yes,NULL,NULL,61.0,CS #3,2015,FORD,ESCAPE,Y,NULL,NULL,camp saf,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL
#3,none,2015.0,Ford,Escape,NULL,1FMCU0F77FUC24224,#3,2015.0,Ford,Escape,84773.0,5/17/2023,Yes,NULL,NULL,61.0,CS #3,2015,FORD,ESCAPE,Y,NULL,NULL,camp saf,OO7,BS/Advancement,White,8323,NULL,NULL,NULL
#3,none,2015.0,Ford,Escape,NULL,1FMCU0F77FUC24224,#3,2015.0,Ford,Escape,84773.0,5/17/2023,Yes,NULL,NULL,61.0,CS #3,2015,FORD,ESCAPE,Y,NULL,NULL,camp saf,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL
#3,none,2015.0,Ford,Escape,NULL,1FMCU0F77FUC24224,#3,2015.0,Ford,Escape,84773.0,5/17/2023,Yes,NULL,NULL,61.0,CS #3,2015,FORD,ESCAPE,Y,NULL,NULL,camp saf,Fac #8,BS,NULL,NULL,NULL,NULL,NULL
