Vehicle #,Driver,Dept_t1,Year_t1,Make_t1,Model_t1,Color,VIN,Vehicle  #,Dept_t3,Year_t3,Make_t3,Model_t3,Mileage,Last Service,Service?,Unnamed: 9,Unnamed: 10,Vehicle #_t5,Calvin #,Vehicle Year,Make,Model,Title,Date_of_Service,Notes,Matched_On,Vehicle,Veh #,Current Mileage,Last LOF,Tire Condition IN 32nds,Overall condition,KBB Value,Driver_t4
NULL,none,none,NULL,NULL,NULL,NULL,1D7RW3GK6AS164508,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Plaster Creek,2010,DODGE,DAKOTA,Y,NULL,NULL,Dept_t1,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1D7RW3GK6AS164508,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Plaster Creek,2010,DODGE,DAKOTA,Y,NULL,NULL,Dept_t1,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1D7RW3GK6AS164508,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Plaster Creek,2010,DODGE,DAKOTA,Y,NULL,NULL,Dept_t1,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1D7RW3GK6AS164508,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Plaster Creek,2010,DODGE,DAKOTA,Y,NULL,NULL,Dept_t1,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
30,back row,grounds,1988.0,Ford,f-600 Dump,NULL,1FDNF60H6JVA30777,30,grounds,1988.0,Ford,f-600 Dump,44484.0,6/14/2023,Yes,NULL,NULL,22.0,GROUNDS,1988,FORD,F600,Y,NULL,NULL,Dept_t1,2010 GMCSierra 2500 SLE,25,104850,102911,F-11 R-11,Above Average,"$9,479.00 ",grounds
30,back row,grounds,1988.0,Ford,f-600 Dump,NULL,1FDNF60H6JVA30777,30,grounds,1988.0,Ford,f-600 Dump,44484.0,6/14/2023,Yes,NULL,NULL,22.0,GROUNDS,1988,FORD,F600,Y,NULL,NULL,Dept_t1,2008 Chevy Silverado,26,61304,60160,F-7 R-6,Average,"$10,563.00 ",grounds
30,back row,grounds,1988.0,Ford,f-600 Dump,NULL,1FDNF60H6JVA30777,30,grounds,1988.0,Ford,f-600 Dump,44484.0,6/14/2023,Yes,NULL,NULL,22.0,GROUNDS,1988,FORD,F600,Y,NULL,NULL,Dept_t1,2004 Chevy 2500HD,27,126501,125343,F-17 R12,Average,"$3,949.00 ",grounds
30,back row,grounds,1988.0,Ford,f-600 Dump,NULL,1FDNF60H6JVA30777,30,grounds,1988.0,Ford,f-600 Dump,44484.0,6/14/2023,Yes,NULL,NULL,22.0,GROUNDS,1988,FORD,F600,Y,NULL,NULL,Dept_t1,2015 Chevy 2500,28,114540,113800,F-8 R-8,Above Average,"$15,315.00 ",grounds
30,back row,grounds,1988.0,Ford,f-600 Dump,NULL,1FDNF60H6JVA30777,30,grounds,1988.0,Ford,f-600 Dump,44484.0,6/14/2023,Yes,NULL,NULL,22.0,GROUNDS,1988,FORD,F600,Y,NULL,NULL,Dept_t1,1988 F-600 Dump,30,44506,44484,F-4 R-17,Average,To old to list,grounds
30,back row,grounds,1988.0,Ford,f-600 Dump,NULL,1FDNF60H6JVA30777,30,grounds,1988.0,Ford,f-600 Dump,44484.0,6/14/2023,Yes,NULL,NULL,22.0,GROUNDS,1988,FORD,F600,Y,NULL,NULL,Dept_t1,1988 F-800,31,261536,261513,F-16 R-20,Average,To old to list,grounds
30,back row,grounds,1988.0,Ford,f-600 Dump,NULL,1FDNF60H6JVA30777,30,grounds,1988.0,Ford,f-600 Dump,44484.0,6/14/2023,Yes,NULL,NULL,22.0,GROUNDS,1988,FORD,F600,Y,NULL,NULL,Dept_t1,2007 Chevy Silverado ,33,59584,59510,F-11 R-13,Average,"$8,787.00 ",grounds
30,back row,grounds,1988.0,Ford,f-600 Dump,NULL,1FDNF60H6JVA30777,30,grounds,1988.0,Ford,f-600 Dump,44484.0,6/14/2023,Yes,NULL,NULL,22.0,GROUNDS,1988,FORD,F600,Y,NULL,NULL,Dept_t1,2007 Chevy Silverado,34,31088,29970,F-16 R-16,Average,"$9,260.00 ",grounds
30,back row,grounds,1988.0,Ford,f-600 Dump,NULL,1FDNF60H6JVA30777,30,grounds,1988.0,Ford,f-600 Dump,44484.0,6/14/2023,Yes,NULL,NULL,22.0,GROUNDS,1988,FORD,F600,Y,NULL,NULL,Dept_t1,2015 Chevy Silverado 2500 W/T,36,60602,58240,F-13 R-9,Above Average,"$18,637.00 ",grounds
30,back row,grounds,1988.0,Ford,f-600 Dump,NULL,1FDNF60H6JVA30777,30,grounds,1988.0,Ford,f-600 Dump,44484.0,6/14/2023,Yes,NULL,NULL,22.0,GROUNDS,1988,FORD,F600,Y,NULL,NULL,Dept_t1,2013 Chevy Silverado,37,42616,41811,F-11 R-12,Average,"$14,055.00 ",grounds
31,back row,grounds,1988.0,Ford,F-800,NULL,1FDXK84A6JVA00269,31,grounds,1988.0,Ford,F-800,261513.0,6/14/2023,Yes,NULL,NULL,23.0,GROUNDS,1988,FORD,F800,Y,NULL,NULL,Dept_t1,2010 GMCSierra 2500 SLE,25,104850,102911,F-11 R-11,Above Average,"$9,479.00 ",grounds
31,back row,grounds,1988.0,Ford,F-800,NULL,1FDXK84A6JVA00269,31,grounds,1988.0,Ford,F-800,261513.0,6/14/2023,Yes,NULL,NULL,23.0,GROUNDS,1988,FORD,F800,Y,NULL,NULL,Dept_t1,2008 Chevy Silverado,26,61304,60160,F-7 R-6,Average,"$10,563.00 ",grounds
31,back row,grounds,1988.0,Ford,F-800,NULL,1FDXK84A6JVA00269,31,grounds,1988.0,Ford,F-800,261513.0,6/14/2023,Yes,NULL,NULL,23.0,GROUNDS,1988,FORD,F800,Y,NULL,NULL,Dept_t1,2004 Chevy 2500HD,27,126501,125343,F-17 R12,Average,"$3,949.00 ",grounds
31,back row,grounds,1988.0,Ford,F-800,NULL,1FDXK84A6JVA00269,31,grounds,1988.0,Ford,F-800,261513.0,6/14/2023,Yes,NULL,NULL,23.0,GROUNDS,1988,FORD,F800,Y,NULL,NULL,Dept_t1,2015 Chevy 2500,28,114540,113800,F-8 R-8,Above Average,"$15,315.00 ",grounds
31,back row,grounds,1988.0,Ford,F-800,NULL,1FDXK84A6JVA00269,31,grounds,1988.0,Ford,F-800,261513.0,6/14/2023,Yes,NULL,NULL,23.0,GROUNDS,1988,FORD,F800,Y,NULL,NULL,Dept_t1,1988 F-600 Dump,30,44506,44484,F-4 R-17,Average,To old to list,grounds
31,back row,grounds,1988.0,Ford,F-800,NULL,1FDXK84A6JVA00269,31,grounds,1988.0,Ford,F-800,261513.0,6/14/2023,Yes,NULL,NULL,23.0,GROUNDS,1988,FORD,F800,Y,NULL,NULL,Dept_t1,1988 F-800,31,261536,261513,F-16 R-20,Average,To old to list,grounds
31,back row,grounds,1988.0,Ford,F-800,NULL,1FDXK84A6JVA00269,31,grounds,1988.0,Ford,F-800,261513.0,6/14/2023,Yes,NULL,NULL,23.0,GROUNDS,1988,FORD,F800,Y,NULL,NULL,Dept_t1,2007 Chevy Silverado ,33,59584,59510,F-11 R-13,Average,"$8,787.00 ",grounds
31,back row,grounds,1988.0,Ford,F-800,NULL,1FDXK84A6JVA00269,31,grounds,1988.0,Ford,F-800,261513.0,6/14/2023,Yes,NULL,NULL,23.0,GROUNDS,1988,FORD,F800,Y,NULL,NULL,Dept_t1,2007 Chevy Silverado,34,31088,29970,F-16 R-16,Average,"$9,260.00 ",grounds
31,back row,grounds,1988.0,Ford,F-800,NULL,1FDXK84A6JVA00269,31,grounds,1988.0,Ford,F-800,261513.0,6/14/2023,Yes,NULL,NULL,23.0,GROUNDS,1988,FORD,F800,Y,NULL,NULL,Dept_t1,2015 Chevy Silverado 2500 W/T,36,60602,58240,F-13 R-9,Above Average,"$18,637.00 ",grounds
31,back row,grounds,1988.0,Ford,F-800,NULL,1FDXK84A6JVA00269,31,grounds,1988.0,Ford,F-800,261513.0,6/14/2023,Yes,NULL,NULL,23.0,GROUNDS,1988,FORD,F800,Y,NULL,NULL,Dept_t1,2013 Chevy Silverado,37,42616,41811,F-11 R-12,Average,"$14,055.00 ",grounds
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.0,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,Dept_t1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.0,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,Dept_t1,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.0,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,Dept_t1,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.0,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,Dept_t1,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.0,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,Dept_t1,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.0,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,Dept_t1,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,Dept_t1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,Dept_t1,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,Dept_t1,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,Dept_t1,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,Dept_t1,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,Dept_t1,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,SCRAPPED,2005,FORD,ECONOL,NULL,NULL,NULL,Dept_t1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,SCRAPPED,2005,FORD,ECONOL,NULL,NULL,NULL,Dept_t1,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,SCRAPPED,2005,FORD,ECONOL,NULL,NULL,NULL,Dept_t1,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,SCRAPPED,2005,FORD,ECONOL,NULL,NULL,NULL,Dept_t1,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,SCRAPPED,2005,FORD,ECONOL,NULL,NULL,NULL,Dept_t1,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,SCRAPPED,2005,FORD,ECONOL,NULL,NULL,NULL,Dept_t1,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,Scrapped,2005,FORD,ECONOL,NULL,NULL,NULL,Dept_t1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,Scrapped,2005,FORD,ECONOL,NULL,NULL,NULL,Dept_t1,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,Scrapped,2005,FORD,ECONOL,NULL,NULL,NULL,Dept_t1,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,Scrapped,2005,FORD,ECONOL,NULL,NULL,NULL,Dept_t1,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,Scrapped,2005,FORD,ECONOL,NULL,NULL,NULL,Dept_t1,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,Scrapped,2005,FORD,ECONOL,NULL,NULL,NULL,Dept_t1,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD,2008,CHEVR,EXPRES,VOID,NULL,NULL,Dept_t1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD,2008,CHEVR,EXPRES,VOID,NULL,NULL,Dept_t1,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD,2008,CHEVR,EXPRES,VOID,NULL,NULL,Dept_t1,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD,2008,CHEVR,EXPRES,VOID,NULL,NULL,Dept_t1,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD,2008,CHEVR,EXPRES,VOID,NULL,NULL,Dept_t1,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD,2008,CHEVR,EXPRES,VOID,NULL,NULL,Dept_t1,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD 2020,2008,CHEVR,EXPRES,VOID,NULL,NULL,Dept_t1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD 2020,2008,CHEVR,EXPRES,VOID,NULL,NULL,Dept_t1,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD 2020,2008,CHEVR,EXPRES,VOID,NULL,NULL,Dept_t1,OO7,BS/Advancement,White,8323,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD 2020,2008,CHEVR,EXPRES,VOID,NULL,NULL,Dept_t1,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD 2020,2008,CHEVR,EXPRES,VOID,NULL,NULL,Dept_t1,Fac #8,BS,NULL,NULL,NULL,NULL,NULL,none
NULL,none,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD 2020,2008,CHEVR,EXPRES,VOID,NULL,NULL,Dept_t1,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL,none
42,annie mas-smith,slc,2013.0,Chevy,Express 12 Pass,White,1GAWGPFG6D1121076,42,slc,2013.0,Chevy,Express 12 Pass,57374.0,2/20/2024,Yes,NULL,NULL,46.0,42,2013,CHEVR,EXPRES,NULL,NULL,NULL,Dept_t1,2008 Chevy Impala,41,133423,131220,F-10 R-4,Above Average,"$3,814.00 ",slc
42,annie mas-smith,slc,2013.0,Chevy,Express 12 Pass,White,1GAWGPFG6D1121076,42,slc,2013.0,Chevy,Express 12 Pass,57374.0,2/20/2024,Yes,NULL,NULL,46.0,42,2013,CHEVR,EXPRES,NULL,NULL,NULL,Dept_t1,2013 Chevy Express 12 pass,42,64078,57374,F-14 R-11,Above Average,"$20,536.00 ",slc
42,annie mas-smith,slc,2013.0,Chevy,Express 12 Pass,White,1GAWGPFG6D1121076,42,slc,2013.0,Chevy,Express 12 Pass,57374.0,2/20/2024,Yes,NULL,NULL,NULL,42,2013,CHEVR,EXPRES,NULL,NULL,NULL,Dept_t1,2008 Chevy Impala,41,133423,131220,F-10 R-4,Above Average,"$3,814.00 ",slc
42,annie mas-smith,slc,2013.0,Chevy,Express 12 Pass,White,1GAWGPFG6D1121076,42,slc,2013.0,Chevy,Express 12 Pass,57374.0,2/20/2024,Yes,NULL,NULL,NULL,42,2013,CHEVR,EXPRES,NULL,NULL,NULL,Dept_t1,2013 Chevy Express 12 pass,42,64078,57374,F-14 R-11,Above Average,"$20,536.00 ",slc
34,back row,grounds,2007.0,Chevy,Silverado,White,1GBJC34U87E181831,34,grounds,2007.0,Chevy,Silverado,29970.0,4/26/2023,Yes,NULL,NULL,27.0,GROUNDS,2007,CHEVR,SILVER,Y,NULL,NULL,Dept_t1,2010 GMCSierra 2500 SLE,25,104850,102911,F-11 R-11,Above Average,"$9,479.00 ",grounds
34,back row,grounds,2007.0,Chevy,Silverado,White,1GBJC34U87E181831,34,grounds,2007.0,Chevy,Silverado,29970.0,4/26/2023,Yes,NULL,NULL,27.0,GROUNDS,2007,CHEVR,SILVER,Y,NULL,NULL,Dept_t1,2008 Chevy Silverado,26,61304,60160,F-7 R-6,Average,"$10,563.00 ",grounds
34,back row,grounds,2007.0,Chevy,Silverado,White,1GBJC34U87E181831,34,grounds,2007.0,Chevy,Silverado,29970.0,4/26/2023,Yes,NULL,NULL,27.0,GROUNDS,2007,CHEVR,SILVER,Y,NULL,NULL,Dept_t1,2004 Chevy 2500HD,27,126501,125343,F-17 R12,Average,"$3,949.00 ",grounds
34,back row,grounds,2007.0,Chevy,Silverado,White,1GBJC34U87E181831,34,grounds,2007.0,Chevy,Silverado,29970.0,4/26/2023,Yes,NULL,NULL,27.0,GROUNDS,2007,CHEVR,SILVER,Y,NULL,NULL,Dept_t1,2015 Chevy 2500,28,114540,113800,F-8 R-8,Above Average,"$15,315.00 ",grounds
34,back row,grounds,2007.0,Chevy,Silverado,White,1GBJC34U87E181831,34,grounds,2007.0,Chevy,Silverado,29970.0,4/26/2023,Yes,NULL,NULL,27.0,GROUNDS,2007,CHEVR,SILVER,Y,NULL,NULL,Dept_t1,1988 F-600 Dump,30,44506,44484,F-4 R-17,Average,To old to list,grounds
34,back row,grounds,2007.0,Chevy,Silverado,White,1GBJC34U87E181831,34,grounds,2007.0,Chevy,Silverado,29970.0,4/26/2023,Yes,NULL,NULL,27.0,GROUNDS,2007,CHEVR,SILVER,Y,NULL,NULL,Dept_t1,1988 F-800,31,261536,261513,F-16 R-20,Average,To old to list,grounds
34,back row,grounds,2007.0,Chevy,Silverado,White,1GBJC34U87E181831,34,grounds,2007.0,Chevy,Silverado,29970.0,4/26/2023,Yes,NULL,NULL,27.0,GROUNDS,2007,CHEVR,SILVER,Y,NULL,NULL,Dept_t1,2007 Chevy Silverado ,33,59584,59510,F-11 R-13,Average,"$8,787.00 ",grounds
