Calvin #,Color,Current Mileage,Date_of_Service,Dept_t1,Dept_t3,Driver,Driver_x,Driver_y,KBB Value,Last LOF,Last Service,Make,Make_t1,Make_t3,Mileage,Model,Model_t1,Model_t3,Notes,Overall condition,Service?,Tire Condition IN 32nds,Title,Unnamed: 10,Unnamed: 9,VIN,Veh #,Vehicle,Vehicle  #,Vehicle #,Vehicle #_t5,Vehicle Year,Year_t1,Year_t3
CS #1,NULL,Burgundy,NULL,camp saf,camp saf,none,back row,grounds,"$9,260.00 ",751,5/17/2023,FORD,Ford,Ford,131897.0,ESCAPE,Escape,Escape,NULL,Average,Yes,F-16 R-16,Y,NULL,NULL,1FMCU0F73EUD08328,BS/Custodial/Emily,Fac #9,#1,#1,53.0,2014,2014.0,2014.0
CS #3,NULL,60602,NULL,camp saf,camp saf,none,back row,grounds,"$18,637.00 ",58240,5/17/2023,FORD,Ford,Ford,84773.0,ESCAPE,Escape,Escape,NULL,Above Average,Yes,F-13 R-9,Y,NULL,NULL,1FMCU0F77FUC24224,36,2015 Chevy Silverado 2500 W/T,#3,#3,61.0,2015,2015.0,2015.0
CS #3,NULL,42616,NULL,camp saf,camp saf,none,back row,grounds,"$14,055.00 ",41811,5/17/2023,FORD,Ford,Ford,84773.0,ESCAPE,Escape,Escape,NULL,Average,Yes,F-11 R-12,Y,NULL,NULL,1FMCU0F77FUC24224,37,Golf Carts,#3,#3,61.0,2015,2015.0,2015.0
CS #3,NULL,White,NULL,camp saf,camp saf,none,none,grounds,To old to list,8323,5/17/2023,FORD,Ford,Ford,84773.0,ESCAPE,Escape,Escape,NULL,Average,Yes,F-16 R-20,Y,NULL,NULL,1FMCU0F77FUC24224,BS/Advancement,OO7,#3,#3,61.0,2015,2015.0,2015.0
CS #3,NULL,Green EZ/Go,NULL,camp saf,camp saf,none,none,grounds,"$8,787.00 ",6377,5/17/2023,FORD,Ford,Ford,84773.0,ESCAPE,Escape,Escape,NULL,Average,Yes,F-11 R-13,Y,NULL,NULL,1FMCU0F77FUC24224,BS,Fac #4,#3,#3,61.0,2015,2015.0,2015.0
CS #3,NULL,31088,NULL,camp saf,camp saf,none,none,grounds,"$9,260.00 ",29970,5/17/2023,FORD,Ford,Ford,84773.0,ESCAPE,Escape,Escape,NULL,Average,Yes,F-16 R-16,Y,NULL,NULL,1FMCU0F77FUC24224,BS,Fac #8,#3,#3,61.0,2015,2015.0,2015.0
CS #3,White,Burgundy,NULL,camp saf,camp saf,none,amanda harper,grounds,"$18,637.00 ",751,5/17/2023,FORD,Ford,Ford,84773.0,ESCAPE,Escape,Escape,NULL,Above Average,Yes,F-13 R-9,Y,NULL,NULL,1FMCU0F77FUC24224,BS/Custodial/Emily,Fac #9,#3,#3,61.0,2015,2015.0,2015.0
CD,White,42616,11/8/2023,c-dining,c-dining,amanda harper,handicap,grounds,"$14,055.00 ",41811,2/1/2023,FORD,Ford ,Ford ,14005.0,ECONOL,Econoline,Econoline,full service and replaced blown left head light bulb.,Average,Yes,F-11 R-12,Y,NULL,NULL,1FTNE1EW8BDA20664,37,2013 Chevy Silverado,44,44,44.0,2011,2011.0,2011.0
HANDICAP,White,7934,11/8/2023,building ser,building ser,handicap,john z,NULL,"$7,734.00 ",7894,11/8/2023,FORD,Ford,Ford,7894.0,ECONOL,E250 Econoline,E250 Econoline,full service and replaced blown left head light bulb.,Average,Yes,F-12 R-12,Y,NULL,NULL,1FTNE24L03HB89987,13,2003 Ford E250 ECONOLINE,13,13,14.0,2003,2003.0,2003.0
10,White,NULL,10/25/2023,building ser,building ser,john z,john z,NULL,NULL,NULL,11/7/2023,FORD,Ford,Ford,19019.0,ECONOL,E-250,E-250,r and r tail light bulbs,NULL,Yes,NULL,Y,NULL,NULL,1FTNE2EW1EDA31614,NULL,NULL,10,10,63.0,2014,2014.0,2014.0
10,White,NULL,11/7/2023,building ser,building ser,john z,joe,NULL,NULL,NULL,11/7/2023,FORD,Ford,Ford,19019.0,ECONOL,E-250,E-250,full service and inspection,NULL,Yes,NULL,Y,NULL,NULL,1FTNE2EW1EDA31614,NULL,NULL,10,10,63.0,2014,2014.0,2014.0
3,White,109612,10/25/2023,building ser,building ser,joe,none,none,"$7,509.00 ",108802,10/25/2023,FORD,Ford,Ford,108802.0,ECONOL,Econoline,Econoline,service and oil change,Below Average,Yes,F-13 R-14,Y,NULL,NULL,1FTNE2EW2BDB09118,3,2011 Ford Econoline,3,3,72.0,2011,2011.0,2011.0
SOLD,NULL,NULL,11/8/2023,none,none,none,none,none,NULL,NULL,11/8/2023,FORD,Ford,Ford,7894.0,ECONOL,E250 Econoline,E250 Econoline,full service and replaced blown left head light bulb.,NULL,Yes,NULL,Y,NULL,NULL,1FTRE14W06HB09002,NULL,Golf Carts,13,13,79.0,2006,2003.0,2003.0
SOLD,White,White,10/25/2023,none,none,none,none,none,NULL,8323,11/7/2023,FORD,Ford,Ford,19019.0,ECONOL,E-250,E-250,r and r tail light bulbs,NULL,Yes,NULL,Y,NULL,NULL,1FTRE14W06HB09002,BS/Advancement,Golf Carts,10,10,79.0,2006,2014.0,2014.0
SOLD,White,White,11/7/2023,none,none,none,none,none,NULL,8323,11/7/2023,FORD,Ford,Ford,19019.0,ECONOL,E-250,E-250,full service and inspection,NULL,Yes,NULL,Y,NULL,NULL,1FTRE14W06HB09002,BS/Advancement,OO7,10,10,79.0,2006,2014.0,2014.0
SOLD,White,Green EZ/Go,10/25/2023,none,none,none,none,none,NULL,6377,10/25/2023,FORD,Ford,Ford,108802.0,ECONOL,Econoline,Econoline,service and oil change,NULL,Yes,NULL,Y,NULL,NULL,1FTRE14W06HB09002,BS,Fac #4,3,3,79.0,2006,2011.0,2011.0
SOLD,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1FTRE14W06HB09002,BS,Fac #8,NULL,NULL,79.0,2006,NULL,NULL
SOLD,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1FTRE14W06HB09002,BS/Custodial/Emily,Fac #9,NULL,NULL,79.0,2006,NULL,NULL
SOLD,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1FTRE14W06HB09002,BS/Advancement,Golf Carts,NULL,NULL,79.0,2006,NULL,NULL
SOLD,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1FTRE14W06HB09002,BS/Advancement,Golf Carts,NULL,NULL,79.0,2006,NULL,NULL
SOLD,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1FTRE14W06HB09002,BS/Advancement,OO7,NULL,NULL,79.0,2006,NULL,NULL
SOLD,NULL,Green EZ/Go,NULL,none,none,none,none,none,NULL,6377,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1FTRE14W06HB09002,BS,Fac #4,NULL,NULL,79.0,2006,NULL,NULL
SOLD,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1FTRE14W06HB09002,BS,Fac #8,NULL,NULL,NULL,2006,NULL,NULL
SOLD,NULL,Burgundy,11/1/2023,none,none,none,alton,none,NULL,751,11/1/2023,FORD,Chevy,Chevy,81064.0,ECONOL,E150 Econoline,E150 Econoline,"replace battery, fix bent rear door and replace bad rear door latch. service",NULL,Yes,NULL,Y,NULL,NULL,1FTRE14W06HB09002,BS/Custodial/Emily,Fac #9,32,32,24.0,2006,2005.0,2005.0
GROUNDS,NULL,81804,11/1/2023,building ser,building ser,alton,none,none,"$4,866.00 ",81064,11/1/2023,FORD,Chevy,Chevy,81064.0,ECONOL,E150 Econoline,E150 Econoline,"replace battery, fix bent rear door and replace bad rear door latch. service",Below Average,Yes,F-8 R-11,Y,NULL,NULL,1FTRE14W85HA43457,32,2005 Ford E150 Econoline,32,32,24.0,2005,2005.0,2005.0
SCRAPPED,NULL,Green EZ/Go,NULL,none,none,none,none,none,NULL,6377,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1FTRE14W85HB15323,BS,Golf Carts,NULL,NULL,43.0,2005,NULL,NULL
SCRAPPED,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1FTRE14W85HB15323,BS/Advancement,Golf Carts,NULL,NULL,43.0,2005,NULL,NULL
SCRAPPED,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1FTRE14W85HB15323,BS/Advancement,OO7,NULL,NULL,43.0,2005,NULL,NULL
SCRAPPED,NULL,Green EZ/Go,11/1/2023,none,none,none,none,none,NULL,6377,11/1/2023,FORD,Chevy,Chevy,81064.0,ECONOL,E150 Econoline,E150 Econoline,"replace battery, fix bent rear door and replace bad rear door latch. service",NULL,Yes,NULL,Y,NULL,NULL,1FTRE14W85HB15323,BS,Fac #4,32,32,43.0,2005,2005.0,2005.0
